Sales,Date
51161.32000000018,2016-10-01
10.9,2016-12-01
123277.54999999946,2017-01-01
261801.61999999514,2017-02-01
392147.9100000018,2017-03-01
388874.78000000276,2017-04-01
546355.2900000121,2017-05-01
455554.17000000586,2017-06-01
524705.0700000117,2017-07-01
599876.060000015,2017-08-01
648150.8500000141,2017-09-01
697526.9500000192,2017-10-01
1028695.7400000388,2017-11-01
790949.540000023,2017-12-01
977101.4500000397,2018-01-01
872066.7000000315,2018-02-01
1033857.9600000338,2018-03-01
1005660.4500000331,2018-04-01
1051884.5400000296,2018-05-01
910848.7400000225,2018-06-01
904970.7000000236,2018-07-01
906244.2700000278,2018-08-01
145.0,2018-09-01
